School|Prof Name|Course Name|Course ID
SOSS|Bussarawan Teerawichitchainan|Gender and Family|SOCG203
SOSS|Forrest Zhang|Understanding China's Economic Miracle: Social Origins and Social Impact|SOCG208
SOSS|Alwyn Lim|Global and Transnational Sociology|SOCG219
SOSS|Michael Genkin|Sociology of Terrorism and Political Violence|SOCG220
SOSS|Nafis Hanif|Sociological Theories of Crime and Deviance|SOCG221
SOSS|Hiro Saito|Nation-Building in Asia|SOCG222
SOSS|Aliya Rao|Sociology of Work|SOCG224
SOSS|Yasmin Ortiga|Migration and Urbanization|SOCG225
SOSS|Paulin Straughan|Medical Sociology|SOCG226
SOSS|Alwyn Lim|Economic Sociology|SOCG305
SOSS|Forrest Zhang|Sociology Study Mission|SOCG306
SOSS|Ijlal Naqvi|Sociology Study Mission|SOCG306
SOSS|Jacob Ricks|Capstone Seminar|SSCS400
SOSS|Angela Leung|Capstone Seminar|SSCS400
SOSS|Grace Park|Capstone Seminar|SSCS400
SOSS|Tsai Ming-Hong|Capstone Seminar|SSCS400
SOSS|Yang Hwajin|Capstone Seminar|SSCS400
SOSS|Hoe Su Fern|Introduction to Arts Management|ACM003
SOSS|Hoe Su Fern|Advanced Arts and Culture Management|ACM004
SOSS|David Ocon|Art History: From the Beginnings to the Revolutions|ACM101
SOSS|Kwok Kian Chow|Art in Southeast Asia|ACM208
SOSS|David Ocon|Arts and Cultural Marketing|ACM212
SOSS|David Ocon|Understanding Cultural Cooperation in Asia|ACM213
SOSS|Kwok Kian Chow|Exhibitions and Curating|ACM304
SOSS|Hoe Su Fern|Arts, Culture and the Global City|ACM306
SOSS|Eleanor Tan|Music: East and West|MUSC001
SOSS|Charlotte Setijadi|Exploring Asian Identities|GA001
SOSS|Brenda Chan|Popular Culture in Asia|GA201
SOSS|Charlotte Setijadi|History of Southeast Asia|GA203
SOSS|Charlotte Setijadi|Managing Diversity in Asia|GA205
SOSS|Margaret Chan|Cultural Identities and the Art|HUMN004
SOSS|Ishani Mukherjee|Public Sector Management|PPPM101
SOSS|Ishani Mukherjee|Policy Design and Analysis|PPPM106
SOSS|Ryan Merrill|Environmental Politics and Policy|PPPM201
SOSS|John Donaldson|Public Policy Task Force|PPPM301
SOSS|Stephanie Burridge|Dance: East and West|FNAR001
SOSS|Francois Bretault|French|FNCH201
SOSS|Siri Ramaswami|A Cultural Introduction to India: From Indus Valley to Infosys|HUMN017
SOSS|Aidan Wong|Singapore: Imagining the Next Fifty Years|HUMN020
SOSS|Darlene Espena|Film in Southeast Asia|HUMN022
SOSS|Aidan Wong|Urban Cultures|IDIS003
SOSS|Matthew Hammerton|Big Questions (Happiness and Suffering)|IDIS004
SOSS|Orlando Woods|Big Questions (Happiness and Suffering)|IDIS004
SOSS|Darlene Espena|Big Questions (Happiness and Suffering)|IDIS004
SOSS|Elvin Lim|Big Questions (Happiness and Suffering)|IDIS004
SOSS|Fiona Williamson|Science, Environment and Empire|IDIS005
SOSS|Orlando Woods|Digital Cultures|IDIS006
SOSS|Fiona Williamson|Climate, History and Society|IDIS007
SOSS|Darlene Espena|Cultural History of the Cold War in Asia|IDIS008
SOSS|Thomas Ewing|Intellectual Assets, Technology and Society|IDIS009
SOSS|Henrik Olsson|Intellectual Assets, Technology and Society|IDIS009
SOSS|Thomas Menkhoff|Understanding Drone & Robotic Technology - History, Usage, Ethics & Legal Issues|IDIS103
SOSS|Kan Siew Ning|Understanding Drone & Robotic Technology - History, Usage, Ethics & Legal Issues|IDIS103
SOSS|Eugene Tan|Understanding Drone & Robotic Technology - History, Usage, Ethics & Legal Issues|IDIS103
SOSS|Francesca Benvenuti|Italian|ITAL201
SOSS|Yoko Morikawa|Japanese|JPAN201
SOSS|Seo Ji Yun|Korean|KREA201
SOSS|Wang Shengyu|Mandarin|MAND201
SOSS|Sahri Md Salleh|Bahasa Melayu|MLAY201
SOSS|Marijo Romero|Spanish|SPAN201
SOSS|Gobinathan Nair|Principles of Coaching in Sports|SPRT001
SOSS|Suksri Lumprasert|Thai|THAI201
SIS|Mei Lin|Information Systems & Innovation in Smart Cities|SMT110
SIS|Mei Lin|Information Systems & Innovation|IS110
SIS|Qian Tang|Information Systems & Innovation|IS110
SIS|Jing Jiang|Introduction to Programming|IS111
SIS|Joelle Elmaleh|Introduction to Programming|IS111
SIS|Yeow Leong Lee|Introduction to Programming|IS111
SIS|Akshat Kumar|Computer as an Analysis Tool|IS102
SIS|Dai Bing Tian|Computer as an Analysis Tool|IS102
SIS|Dan Ma|Computer as an Analysis Tool|IS102
SIS|Kyong Jin Shim|Computer as an Analysis Tool|IS102
SIS|Manoj Thulasidas|Computer as an Analysis Tool|IS102
SIS|Michelle Cheong|Computer as an Analysis Tool|IS102
SIS|Wang Hai|Computer as an Analysis Tool|IS102
SIS|Youngsoo Kim|Computer as an Analysis Tool|IS102
SIS|Zhiling Guo|Computer as an Analysis Tool|IS102
SIS|Hady Lauw|Computational Thinking|IS103
SIS|Rajesh Balan|Software Engineering|IS203
SIS|Paul Griffin|Software Engineering|IS203
SIS|Youngki Lee|Software Engineering|IS203
SIS|Kevin Steppe|Architectural Analysis|IS303
SIS|Alan Megargel|Architectural Analysis|IS303
SIS|Swapna Gottipati|Process Modeling & Solution Blueprinting|IS304
SIS|Rafael Barros|Process Modeling & Solution Blueprinting|IS304
SIS|Kar Way Tan|Enterprise Web Solutions|IS305
SIS|Koh Kwan Chin|Enterprise Web Solutions|IS305
SIS|Kok Khing Lee|Interaction Design and Prototyping|IS306
SIS|Lingxiao Jiang|IS Application Project|IS480
SIS|Steven Hoi|IS Application Project|IS480
SIS|Patrick Thng|IS Application Project|IS480
SIS|Xiong Jie|IS Application Project|IS480
SIS|Hwee Pink Tan|IS Application Project|IS480
SIS|Debin Gao|Networking|IS204
SIS|Venky Shankararaman|Enterprise Business Solution|IS412
SIS|Patrick Thng|Retail Banking Processes and Technology|IS419
SIS|Gerard Tong|Financial Markets Processes and Technology|IS423
SIS|Steven Hoi|Data Mining and Business Analytics|IS424
SIS|Annie Ng|Advanced Seminar on Information Systems Management|IS425
SIS|Tin Seong Kam|Visual Analytics for Business Intelligence|IS428
SIS|Enoch Chng|ePayments Processes and Technology|IS430
SIS|Siew Ning Kan|Public Sector Systems|IS432
SIS|Kyong Jin Shim|Social Analytics & Applications|IS434
SIS|Yingjiu Li|Data Security and Privacy|IS436
SIS|Debin Gao|Software and Systems Security|IS437
SIS|Hwee Pink Tan|Internet of Things: Technology and Applications|IS439
SIS|Li Yingjiu|Guided Research in Information Systems|IS470
SIS|Li Yingjiu|Guided Research in Information Systems 2|IS471
SIS|Tin Seong Kam|Analytics Practicum|ANLY482
SIS|Ee Peng Lim|Data Management|IS112
SIS|Kyriakos Mouratidis|Data Management|IS113
SIS|Baihua Zheng|Data Management|IS114
SIS|Li Yuchen|Data Management|IS115
SIS|Vandana Rao / Fiona Lee|Data Management|IS116
SIS|Yeow Leong Lee|Web Application Development|IS113
SIS|Kyong Jin Shim|Web Application Development|IS114
SIS|David Lo|Web Application Development|IS115
SIS|Pradeep Varakantham|Computer as an Analysis Tool|IS102
SIS|Feida Zhu|Computer as an Analysis Tool|IS102
SIS|Wang Qiuhong|Computer as an Analysis Tool|IS102
SIS|Aldy Gunawan|Computer as an Analysis Tool|IS102
SIS|Arindam Chatterjee|Computer as an Analysis Tool|IS102
SIS|Siraj Iqbal|Computer as an Analysis Tool|IS102
SIS|Shih-Fen Cheng|Computational Thinking|IS103
SIS|Xuhua Ding|Computational Thinking|IS103
SIS|Lingxiao Jiang|Enterprise Integration|IS301
SIS|Venky Shankararaman|Enterprise Integration|IS301
SIS|Alan Megargel|Enterprise Integration|IS301
SIS|Xuhua Ding|Information Security and Trust|IS302
SIS|Debin Gao|Information Security and Trust|IS302
SIS|Yingjiu Li|Information Security and Trust|IS302
SIS|Ouh Eng Lieh|Architectural Analysis|IS303
SIS|Mok Heng Ngee|Architectural Analysis|IS303
SIS|Swapna Gottipati|Enterprise Web Solutions|IS305
SIS|Rafael Barros|Enterprise Web Solutions|IS305
SIS|Benjamin Gan|Interaction Design and Prototyping|IS306
SIS|Kotaro Hara|Interaction Design and Prototyping|IS306
SIS|Paul Griffin|Interaction Design and Prototyping|IS306
SIS|Benjamin Gan|IS Application Project|IS480
SIS|Rafael Barros|IS Application Project|IS480
SIS|Paul Griffin|IS Application Project|IS480
SIS|Tan Hwee Xian|IS Application Project|IS480
SIS|Youngki Lee|IS Application Project|IS480
SIS|Xuhua Ding|Network Security|IS403
SIS|Benjamin Gan|Technopreneurship Study Mission|IS.405
SIS|Kyriakos Mouratidis|Advanced Data Management|IS410
SIS|Tin Seong Kam|Geospatial Analytics and Business Intelligence|IS415
SIS|Thivya Kandappu|Mobile & Pervasive Technology|IS416
SIS|Swapna Gottipati|Data Warehousing and Business Analytics|IS417
SIS|Shih-Fen Cheng|Agent-based Modeling and Simulation|IS418
SIS|Hoong Chuin Lau|Enterprise Analytics for Decision Support|IS421
SIS|Yuet Nan Wong|Advanced Seminar on Information Systems Management|IS425
SIS|Siew Ning Kan|Systems for Intelligent Cities|IS435
SIS|Enoch Chng|Financial Technology Study Mission|IS.438
SIS|Yeow Leong Lee|Object Oriented Programming|IS442
SIS|Course Coordinator (Benjamin Gan)|IS Application Project 2|IS481
SIS|Seema Chokshi|Analytics Foundations|ANLY104
SIS|Manoj Thulasidas|Analytics Foundations|ANLY104
SIS|Kar Way Tan|Analytics Foundations|ANLY104
SOB|Akanksha Rath|Management Communication|COMM101
SOB|Chan Boh Yee|Management Communication|COMM101
SOB|Farooq Jamil Alvi|Management Communication|COMM101
SOB|Gwendoline Anne Lim Siu Kiao|Management Communication|COMM101
SOB|Ho Jack Yong|Management Communication|COMM101
SOB|Lindy Ong|Management Communication|COMM101
SOB|Mehdi Namazie|Management Communication|COMM101
SOB|Serena Lim|Management Communication|COMM101
SOB|Shyamala Deenathayalan|Management Communication|COMM101
SOB|Sunita Anne Abraham|Management Communication|COMM101
SOB|Vandana Advani|Management Communication|COMM101
SOB|Yeo Su Lin|Foundations in Corporate Communication|COMM102
SOB|Ong Siow Heng|Intercultural Communication|COMM120
SOB|Shyamala Deenathayalan|Intercultural Communication|COMM120
SOB|Augustine Pang|Fundamentals of Media Engagement|COMM121
SOB|Mark Chong Yiew Kim|The Communication and Digital Media Industries|COMM216
SOB|Georgette Tan|Organisational Communication|COMM245
SOB|Augustine Pang|Crisis Management and Communication|COMM246
SOB|Shyamala Deenathayalan|Corporate Culture and Values|COMM254
SOB|Ong Siow Heng|Corporate Culture and Values|COMM254
SOB|Sungjong Roh|Psychology of Strategic Communication|COMM302
SOB|Mark Chong Yiew Kim|Story Craft for Business in Emerging markets|COMM320
SOB|Janice Armstrong|Story Craft for Business in Emerging markets|COMM320
SOB|Yeo Su Lin|Strategic Communication in Asia|COMM334
SOB|Tracy Loh|Communication Strategies in the Digital Age|COMM346
SOB|Aurobindo Ghosh|Finance|FNCE101
SOB|David Ding|Finance|FNCE101
SOB|Jeremy Goh|Finance|FNCE101
SOB|Wang Wei Mun|Finance|FNCE101
SOB|Ke Jinghao|Finance|FNCE101
SOB|Ekkehart Boehmer|Financial Instruments, Institutions and Markets|FNCE102
SOB|Li Weikai|Financial Instruments, Institutions and Markets|FNCE102
SOB|Karen Gan|Financial Instruments, Institutions and Markets|FNCE102
SOB|David Ding|Finance for Law (for LLB)|FNCE103
SOB|Clemens Otto|Corporate Finance|FNCE201
SOB|John Martin Sequeira|Corporate Finance|FNCE201
SOB|Chiraphol New Chiyachantana|Analysis of Equity Investment|FNCE203
SOB|Gloria Yu|International Finance|FNCE210
SOB|Liang Hao|Entrepreneurial Finance|FNCE213
SOB|Daniel A. Stone|Consumer Banking|FNCE225
SOB|Daniel A. Stone|Corporate Banking|FNCE229
SOB|Francis Koh Cher Chiew|Real Estate Investments and Finance|FNCE231
SOB|Ku Swee Yong|Real Estate Investments and Finance|FNCE231
SOB|Ang Sock Tiang|Real Estate Valuation and Taxation|FNCE234
SOB|Tan Eng Khiam|Real Estate Development|FNCE235
SOB|Tu Jun|Analysis of Derivative Securities|FNCE305
SOB|Jayesh Avlani|Trade Finance|FNCE310
SOB|Cheng Yam San|Trade Finance|FNCE310
SOB|Ang Ser Keng|Mergers & Acquisitions|FNCE311
SOB|Liang Hao|Sustainable Finance|FNCE314
SOB|Ting Hian Ann|Calculus|MATH001
SOB|Christopher|Calculus|MATH001
SOB|Neo Kok Beng|Technology & World Change|MGMT002
SOB|Pang Eng Fong|Technology & World Change|MGMT002
SOB|Rajah Kumar|Technology & World Change|MGMT002
SOB|Andrew Min Han Chin|Business, Government & Society|MGMT003
SOB|Chan Kay Min|Business, Government & Society|MGMT003
SOB|Elizabeth Su|Business, Government & Society|MGMT003
SOB|Er Jwee Ping|Business, Government & Society|MGMT003
SOB|Francis Pavri|Business, Government & Society|MGMT003
SOB|Gilbert Tan Yip Wei|Business, Government & Society|MGMT003
SOB|Joergen Oerstroem Moeller|Business, Government & Society|MGMT003
SOB|Loo Khee Sheng|Business, Government & Society|MGMT003
SOB|Alan Tea|Creative Thinking|MGMT004
SOB|Cindy Ong|Creative Thinking|MGMT004
SOB|Goh Ban Eng|Creative Thinking|MGMT004
SOB|Khoo Hock Seng|Creative Thinking|MGMT004
SOB|Lim Boon Chye|Creative Thinking|MGMT004
SOB|Don Chen Jiaqing|Managing in a VUCA context|MGMT005
SOB|Venkat|Managing in a VUCA context|MGMT005
SOB|Whitney Zhang|Managing in a VUCA context|MGMT005
SOB|Abhijith Geethakrishna Acharya|Strategy|MGMT102
SOB|Daniel Mack|Strategy|MGMT102
SOB|Kim Chang Hyun|Strategy|MGMT102
SOB|Patrick Tan Siong Kuan|Strategy|MGMT102
SOB|Say Gui Deng|Strategy|MGMT102
SOB|Tracy Li|Strategy|MGMT102
SOB|Terence Fan Ping-Ching|Strategy|MGMT102
SOB|Victor Goh|Strategy|MGMT102
SOB|Victor Goh|Corporate Entrepreneurship and Innovation|MGMT104
SOB|Gokhan Ertug|" Introduction to Organisations"|MGMT106
SOB|Abhijith Geethakrishna Acharya|International Business|MGMT205
SOB|Judy Tan|International Business|MGMT205
SOB|David Gomulya|Entrepreneurship & Business Creation|MGMT218
SOB|Jeremy Loh|Entrepreneurship & Business Creation|MGMT218
SOB|Roger Low|Family Business|MGMT222
SOB|Kenneth Goh|Social Entrepreneurship|MGMT223
SOB|Gilbert Tan Yip Wei|Managing Creativity in Organizations|MGMT227
SOB|Pang Eng Fong|Leadership Seminar with CEOs|MGMT233
SOB|Ted Feichin Tschang|Sustainability Management and Governance|MGMT235
SOB|Geng Xuesong|Managing Strategic Change|MGMT236
SOB|Ted Feichin Tschang|Play in Invention and Culture|MGMT239
SOB|Thomas Menkhoff|Doing Business with Artificial Intelligence|MGMT240
SOB|Kan Siew Ning|Doing Business with Artificial Intelligence|MGMT240
SOB|Gordon Perchthold|Business Capstone Course|MGMT300
SOB|Fong Whye Choo|Business Capstone Course|MGMT300
SOB|Josephine Kang Poh Tin|Business Capstone Course|MGMT300
SOB|Pang Eng Fong|Business Capstone Course|MGMT300
SOB|Patrick Tan Siong Kuan|Business Capstone Course|MGMT300
SOB|Stephen Matthias Harney|Business Capstone Course|MGMT300
SOB|Vivien Koh|Business Capstone Course|MGMT300
SOB|Christopher Khor|Business Capstone Course|MGMT300
SOB|Ruth Chiang|Business Capstone Course|MGMT300
SOB|Yong Hsin Ning|Business Capstone Course|MGMT300
SOB|Stacey Huang|Business Capstone Course|MGMT300
SOB|Nina Tan|Leading New Ventures to Growth|MGMT310
SOB|Lieven Demeester|Managing Process Improvement|MGMT317
SOB|William Fong|Managing Process Improvement|MGMT317
SOB|Koh Zhixiu|Design Thinking and Innovation|MGMT318
SOB|Terence Fan Ping-Ching|Management of Technology and Innovation|MGMT319
SOB|Thomas Menkhoff|Innovations for Asia's Smart Cities|MGMT320
SOB|Kan Siew Ning|Innovations for Asia's Smart Cities|MGMT320
SOB|Reddi Rayalu Kotha|Entrepreneurship Practicum|MGMT327
SOB|Thomas Menkhoff|Business Study Mission ( China's Belt and Road Initiative)|MGMT301
SOB|Andrew Min Han Chin|Business Study Mission ( China's Belt and Road Initiative)|MGMT301
SOB|Toru Yoshikawa|Business Study Mission (Asian Studies) - Japan|MGMT301
SOB|Dennis Ng|Marketing|MKTG101
SOB|Han Jin Kyung|Marketing|MKTG101
SOB|Havovi Heerjee Joshi|Marketing|MKTG101
SOB|Seh-Woong Chung|Marketing|MKTG101
SOB|Seshan Ramaswami|Marketing|MKTG101
SOB|Jung Kyun Kim|Consumer Behaviour|MKTG102
SOB|Stephanie Lin|Consumer Behaviour|MKTG102
SOB|Christilene Du Plessis|Marketing Research|MKTG103
SOB|Hulya Karaman|Marketing Research|MKTG103
SOB|Patricia Lui|Services Marketing|MKTG204
SOB|Dennis Ng|Advertising|MKTG205
SOB|Dennis Ng|Strategic Brand Management|MKTG217
SOB|Geoffrey Da Silva|Retail Management|MKTG219
SOB|Patricia Lui|Digital Marketing|MKTG220
SOB|Geoffrey Da Silva|Global Marketing|MKTG221
SOB|Raymond Teo|Customer Relationship Management|MKTG225
SOB|Tan Boon Ann|Pricing|MKTG313
SOB|Geoffrey Da Silva|Retail Strategy|MKTG314
SOB|Hanoi Lok|Leadership & Teambuilding|OBHR001
SOB|Kenneth Tai|Leadership & Teambuilding|OBHR001
SOB|Lee Boon Chuan|Leadership & Teambuilding|OBHR001
SOB|Paul Lim Heng Leong|Leadership & Teambuilding|OBHR001
SOB|John Chen|Leadership & Teambuilding|OBHR001
SOB|Png Bee Hin|Leadership & Teambuilding|OBHR001
SOB|Rani Tan|Leadership & Teambuilding|OBHR001
SOB|Roger Low|Leadership & Teambuilding|OBHR001
SOB|Tang Dick Shun|Leadership & Teambuilding|OBHR001
SOB|Abhijeet K. Vadera|Ethics and Coporate Responsibility|OBHR002
SOB|Melvyn Chew|Ethics and Coporate Responsibility|OBHR002
SOB|Tan Boon Heon|Ethics and Coporate Responsibility|OBHR002
SOB|Thomas Menkhoff|Transformative Leadership|OBHR003
SOB|Kan Siew Ning|Transformative Leadership|OBHR003
SOB|Michael Schaerer|Management of People at Work|OBHR101
SOB|Ronald Bledow|Management of People at Work|OBHR101
SOB|Shereen Fatimah|Management of People at Work|OBHR101
SOB|Tan Hwee Hoon|Management of People at Work|OBHR101
SOB|Jared Nai|Human Capital Management|OBHR201
SOB|Filip Lievens|Personnel Selection|OBHR203
SOB|Chow Wai Fong|Training & Development|OBHR204
SOB|Chow Wai Fong|Organisational Change & Design|OBHR215
SOB|Jared Nai|Business Negotiation & Conflict Management|OBHR222
SOB|Paul Lim Heng Leong|The Mosaic of Leadership|OBHR231
SOB|Paul Lim Heng Leong|Millennial Talent Management Recruitment And Engagement (Indonesia)|OBHR233
SOB|Brian Rodrigues|Decision Analysis|OPIM101
SOB|Joyce Low Mei Wan|Decision Analysis|OPIM101
SOB|Liew Sing Loon|Decision Analysis|OPIM101
SOB|Low Chee Seng|Decision Analysis|OPIM101
SOB|Marcus Ang Teck Meng|Decision Analysis|OPIM101
SOB|Onur Boyabatli|Decision Analysis|OPIM101
SOB|Sean Lam|Decision Analysis|OPIM101
SOB|Sharafali Moosa|Decision Analysis|OPIM101
SOB|Buket Avci|Operations Management|OPIM201
SOB|Helen Zhou Yangfang|Operations Management|OPIM201
SOB|Wee Kwan Eng|Operations Management|OPIM201
SOB|Yang Kum Khiong|Operations Management|OPIM201
SOB|Marcus Ang Teck Meng|Service Processes|OPIM311
SOB|Sean Lam|Service Processes|OPIM311
SOB|Pascale Crama|Project Management|OPIM313
SOB|Joyce Low Mei Wan|Logistics and Transportation Management|OPIM314
SOB|Low Chee Seng|Supply Chain Management|OPIM321
SOB|Zeller Alan William|Supply Chain Management|OPIM321
SOB|Lim Yun Fong|High Performance Warehousing and Fulfillment|OPIM322
SOB|Neo Kin Kah|Global Supply Chains|OPIM324
SOB|Kaushik Ghatak|Sales and Operations Planning|OPIM325
SOB|Ting Hian Ann Christopher|Quantitative Fiance|QF101
SOB|Tee Chyng Wen|Investment Statistics|QF102
SOB|Zhao Yibao|Computing Technology for Finance|QF205
SOB|Ting Hian Ann, Christopher|Quantitative Trading Strategies|QF206
SOB|Shirley Huang Junying|Global Financial Risk Management|QF305
SOB|Tee Chyng Wen|Stochastic Finance|QF307
SOB|Ics Instructors|Shipping Business|TRAD201
SOA|Yuanto Kusnadi|Accounting Study Mission|ACCT001
SOA|Zang Yoonseok|Accounting Study Mission|ACCT001
SOA|Yuanto Kusnadi|Accounting for Entrepreneurs|ACCT002
SOA|Wang Jiwei|Capital Markets in China|ACCT003
SOA|Tan Lay Khim|Applied Governance and Risk Management for Student Organizations (SMU-X)|ACCT007
SOA|Wong Yew Tong|Applied Governance and Risk Management for Student Organizations (SMU-X)|ACCT007
SOA|Yanju Liu|Financial Accounting|ACCT101
SOA|Samuel Tan|Financial Accounting|ACCT101
SOA|Yin Wang|Financial Accounting|ACCT101
SOA|Zhou Youting|Financial Accounting|ACCT101
SOA|Tan Lay Khim|Financial Accounting|ACCT101
SOA|Katherine Yuen|Management Accouting|ACCT102
SOA|Cheng Nam Sang|Management Accouting|ACCT102
SOA|Wong Suay Peng|Management Accouting|ACCT102
SOA|Prasart Jongjaroenkamol|Management Accouting|ACCT102
SOA|Khoo Teng Aun|Management Accouting|ACCT102
SOA|Low Lay Chin|Financial Accounting|ACCT111
SOA|Jimmy Lee Kiat Bee|Management Accounting|ACCT112
SOA|Zang Yoonseok|Corporate Reporting and Financial Analysis|ACCT201
SOA|Sean Shin|Corporate Reporting and Financial Analysis|ACCT201
SOA|Chen Xia|Corporate Reporting and Financial Analysis|ACCT201
SOA|Wong Suay Peng|Accounting Information Systems|ACCT221
SOA|Travis Chow|Taxation|ACCT223
SOA|Goh Beng Wee|Financial Reporting and Analysis|ACCT224
SOA|Leong Kwong Sin|Ethics and Social Responsibility|ACCT321 
SOA|Jean Seow|Ethics and Social Responsibility|ACCT321
SOA|Sterling Huang|Audit and Assurance|ACCT331
SOA|Lou Yun|Accounting Thought and Practice|ACCT332
SOA|Zhang Liandong|Accounting Thought and Practice|ACCT332
SOA|Lim Chee Yeow|Intermediate Financial Accounting|ACCT334
SOA|Andrew Lee|Intermediate Financial Accounting|ACCT334
SOA|Pearl Tan Hock Neo|Advanced Financial Accounting|ACCT335
SOA|Yue Heng|Advanced Financial Accounting|ACCT335
SOA|Cheng Nam Sang|Strategic Management Accounting|ACCT401
SOA|Foo See Liang|Governance and Risk Management|ACCT402
SOA|Sum Yee Loong|Advanced Taxation|ACCT403
